x_km,bathy,topo
40.5,-705.913638721927,-450.34855361878
40.6,-708.117696111009,-454.488341304179
40.7,-709.924957330921,-458.628128989579
40.8,-711.732218550832,-456.763033010876
40.9,-713.539479770744,-451.855445314991
41,-715.346740990656,-446.947857619106
41.1,-717.154002210567,-444.139278201235
41.2,-718.961263430479,-441.682021337782
41.3,-720.76852465039,-439.224764474328
41.4,-722.575785870302,-436.767507610875
41.5,-724.383047090214,-434.310250747421
41.6,-726.190308310125,-432.791520502368
41.7,-727.997569530037,-434.205496374174
41.8,-729.804830749949,-435.61947224598
41.9,-731.903513162238,-437.033448117787
42,-734.380180373137,-438.447423989593
42.1,-736.856847584036,-439.935649935649
42.2,-739.333514794934,-443.886950633939
42.3,-741.810182005833,-447.838251332228
42.4,-744.286849216732,-451.789552030518
42.5,-746.763516427631,-455.740852728808
42.6,-749.24018363853,-460.169567157525
42.7,-751.716850849429,-466.319882705432
42.8,-754.193518060327,-472.47019825334
42.9,-756.670185271226,-478.620513801247
43,-759.146852482125,-481.027326810459
43.1,-761.623519693024,-481.020400779437
43.2,-764.100186903923,-481.013474748414
43.3,-766.172820943246,-481.006548717392
43.4,-768.145008276879,-480.99962268637
43.5,-770.117195610512,-455.558943912291
43.6,-772.089382944145,-423.593002066862
43.7,-774.061570277778,-391.627060221433
43.8,-776.033757611411,-363.739402052661
43.9,-778.005944945044,-353.617007713397
44,-779.978132278677,-343.494613374133
44.1,-781.95031961231,-350.88158726713
44.2,-783.922506945943,-363.189144393967
44.3,-785.894694279576,-369.566571735245
44.4,-787.866881613209,-366.041221944834
44.5,-789.839068946842,-362.515872154423
44.6,-791.811256280475,-364.101726511367
44.7,-793.783443614108,-365.854012360039
44.8,-795.755630947741,-367.606298208711
44.9,-797.920745883941,-369.358584057382
45,-800.146665700222,-371.110869906054
45.1,-802.372585516502,-372.863155754726
45.2,-804.598505332783,-380.065676692202
45.3,-806.824425149064,-387.53540114988
45.4,-809.050344965345,-387.063552364743
45.5,-811.276264781626,-380.019778814956
45.6,-813.502184597907,-373.931707955804
45.7,-815.728104414187,-373.660900142828
45.8,-817.954024230468,-373.390092329851
45.9,-820.080504300723,-373.119284516875
46,-822.008711337365,-373.055844140181
46.1,-823.936918374006,-374.36832701893
46.2,-825.865125410647,-375.680809897678
46.3,-827.793332447288,-376.993292776426
46.4,-829.72153948393,-378.305775655174
46.5,-831.649746520571,-379.618258533923
46.6,-833.577953557212,-380.930741412671
46.7,-835.506160593853,-383.186284391108
46.8,-837.434367630494,-385.818176179627
46.9,-839.362574667135,-388.450067968146
47,-841.290781703777,-391.29877630548
47.1,-843.64628465366,-395.983081953636
47.2,-846.981861194055,-400.667387601793
47.3,-850.317437734449,-405.351693249949
47.4,-853.653014274843,-407.815893920311
